user_id,age,gender,food_choice,berth_choice,opted_berth,opted_ss_concession,bedroll_choice
250088,31,M,,SU,0,0,0
250520,26,M,,NC,0,0,0
250880,29,M,,SL,0,0,0
253195,32,M,,SL,0,0,0
254118,30,F,,LB,0,1,0
256653,29,M,,SL,0,1,0
256933,26,M,,LB,0,0,0
257591,68,M,,LB,0,1,0
258646,69,M,,NC,0,1,0
261580,26,M,,SL,0,1,0
262522,33,M,,SU,0,0,0
265681,33,M,V,UB,0,0,0
266371,29,M,,LB,0,0,0
268755,34,M,,WS,0,1,0
271847,23,M,,LB,0,0,0
271878,91,M,,NC,0,1,0
272165,29,M,,WS,0,0,0
273311,39,M,,LB,0,0,0
274323,28,F,,SL,0,0,0
274418,40,M,,NC,0,1,0
281389,37,M,,WS,0,0,0
283153,30,M,,NC,0,0,0
283464,55,M,,LB,0,1,0
285004,54,M,,SL,0,0,0
287037,32,M,N,UB,0,0,0
289860,33,M,,WS,0,0,0
292598,40,M,V,SL,0,0,0
295690,60,M,,NC,0,1,0
296676,44,M,,LB,0,1,1
296719,22,M,,NC,0,1,0
297620,43,M,,LB,0,0,0
298272,30,M,V,UB,0,1,0
306303,48,M,,LB,0,0,0
309034,31,M,,WS,0,0,0
311510,34,F,,WS,0,0,0
311957,29,M,,LB,0,0,0
314210,31,M,,LB,0,0,0
317480,62,M,,NC,0,1,0
321350,30,M,,UB,0,1,0
321863,24,M,,WS,0,0,0
322134,29,M,,UB,0,0,0
323556,51,M,,NC,0,0,0
325677,41,M,,NC,0,1,-1
326473,65,M,N,LB,0,1,0
329062,42,M,V,LB,0,0,0
330257,32,M,,SL,0,0,0
330571,29,M,,SL,0,0,0
332952,27,M,,NC,0,1,0
335975,36,M,,LB,0,0,0
337043,42,M,,UB,0,0,0
337157,55,M,,NC,0,0,0
338243,24,M,,WS,0,0,0
340409,64,M,,LB,0,1,0
340834,25,M,,NC,0,0,0
342955,34,M,V,NC,0,0,0
344254,27,M,,LB,0,1,-1
344612,30,M,,NC,0,0,0
345190,23,M,,WS,0,0,0
346601,26,M,,WS,0,0,0
348786,40,M,,SL,0,1,0
352054,15,M,,NC,0,0,0
354069,22,M,,NC,0,1,0
356363,29,M,,SL,0,1,-1
358403,32,T,,WS,0,0,0
358978,30,M,,SU,0,0,0
359034,54,M,,SL,0,0,0
359169,35,M,,SL,0,0,0
359479,27,M,,LB,0,0,0
360141,35,M,,LB,0,1,0
362042,28,M,V,UB,0,0,0
366298,29,M,,SU,0,0,0
366734,24,M,,WS,0,0,0
369871,47,M,V,WS,0,1,0
371123,28,M,,CP,0,0,0
373488,41,M,,SU,0,1,0
373848,42,M,N,SL,0,0,0
377254,29,M,,NC,0,1,0
377948,23,M,,NC,0,0,0
378715,32,F,,WS,0,1,0
381971,72,M,,LB,0,1,0
382155,28,M,,MB,0,0,0
382924,30,M,,NC,0,0,0
384439,28,M,,NC,0,0,0
387146,45,M,,LB,0,0,0
388805,27,M,,UB,0,0,0
394396,41,M,,LB,0,0,0
395865,51,M,,LB,0,1,0
396130,47,M,,MB,0,0,0
399120,27,F,,SL,0,0,0
403051,40,M,,SL,0,1,0
404105,36,M,D,LB,0,1,1
404991,28,F,,WS,0,0,0
405675,32,M,,LB,0,1,1
405830,8,M,,LB,0,0,0
406416,32,M,,LB,0,0,0
415119,27,M,,SU,0,0,0
416455,33,M,,NC,0,1,0
419120,54,M,N,SL,0,0,0
419631,37,M,N,SL,0,0,0
422660,34,M,,WS,0,1,0
422866,33,M,,WS,0,0,0
423430,29,M,,SL,0,1,0
424831,37,M,,NC,0,0,0
424836,23,M,,SL,0,1,0
431507,33,M,,NC,0,0,0
432274,39,M,,WS,0,1,0
433245,23,M,,SL,0,0,0
433311,45,M,,LB,0,0,1
433748,61,M,,LB,0,1,0
435757,33,M,V,LB,0,0,0
438558,26,F,,SL,0,0,0
439274,23,M,,SL,0,1,0
439315,37,M,,NC,0,1,0
439862,21,M,,SL,0,0,0
440133,30,M,,SL,0,0,0
440204,62,M,V,LB,0,1,0
440327,21,M,V,LB,0,0,0
440936,42,M,,LB,0,1,0
441341,32,M,,NC,0,1,0
442544,31,M,,UB,0,0,0
442742,25,M,,MB,0,1,0
443215,30,M,,UB,0,0,0
444910,30,M,,LB,0,1,0
445603,28,M,,NC,0,0,0
448523,25,M,,NC,0,0,0
450973,30,M,,SL,0,1,0
451165,61,M,,LB,0,1,0
451465,27,M,,WS,0,0,0
453277,29,M,,NC,0,0,0
454146,34,M,,LB,0,0,0
459290,44,M,,SU,0,0,0
460069,31,M,,WS,0,0,0
460522,30,M,,NC,0,1,0
461298,25,M,,SL,0,0,0
461605,24,M,,SL,0,1,0
462299,21,M,,SL,0,0,0
462673,39,M,,NC,0,0,0
462923,40,M,,LB,0,0,0
463563,40,M,,SL,0,0,0
467892,25,M,,NC,0,0,0
469236,33,M,,SU,0,1,0
474381,40,M,,NC,0,1,0
476967,19,M,,SL,0,0,0
478396,51,M,,SL,0,0,0
482216,28,M,,LB,0,0,0
485882,35,M,V,SL,0,0,0
488559,30,M,,SL,0,1,0
489162,28,M,,SU,0,0,0
489702,38,M,,MB,0,0,0
492084,50,M,,NC,0,0,0
493366,33,M,,LB,0,0,0
494268,40,M,,LB,0,0,0
494533,31,M,,NC,0,0,0
495422,27,M,,SL,0,0,0
495525,33,M,,WS,0,0,0
495814,28,M,V,LB,0,0,0
497088,36,M,,UB,0,0,0
500923,28,M,,NC,0,0,0
502048,39,M,,LB,0,0,0
503247,60,M,,NC,0,1,0
503855,30,M,,NC,0,0,0
503950,55,M,,NC,0,0,0
503964,30,M,,SU,0,0,0
504133,27,M,,SL,0,1,0
504153,34,M,,LB,0,0,1
505387,18,M,,WS,0,0,0
505491,35,M,,UB,0,0,0
505860,34,F,,LB,0,0,0
506404,39,M,,UB,0,0,0
509723,21,M,,SU,0,0,0
510963,29,M,,LB,0,1,0
513759,36,M,,WS,0,0,0
514204,36,M,,NC,0,1,0
514665,62,F,,LB,0,0,0
514945,37,M,,LB,0,0,0
515973,47,M,,NC,0,1,1
516164,50,M,,LB,0,1,0
516523,20,M,,UB,0,0,0
520620,35,M,,LB,0,1,0
521132,47,M,,SU,0,0,0
522289,39,M,,SL,0,0,0
524969,44,M,,LB,0,0,0
528244,36,M,,LB,0,0,0
528751,23,M,,SL,0,0,0
531905,54,M,,SL,0,1,0
532298,27,M,,SL,0,1,0
533578,26,M,,UB,0,0,0
534841,31,M,,UB,0,1,0
534907,33,M,V,WS,0,0,0
536253,32,M,,LB,0,0,0
538146,26,F,,SL,0,1,0
540415,47,M,N,SL,0,0,0
540590,21,M,,LB,0,0,0
541035,39,M,,NC,0,0,0
543559,31,M,,LB,0,0,0
544354,48,M,,LB,0,0,0
546576,21,M,,LB,0,1,0
